Actors/Actresses,Gender,BON AWARD,BON AWARD NOMINATION,AMVCA AWARDS,AMVCA NOMINATIONS,AMAA,AMAA NOMINATION,NEA AWARD,NEA NOMINATION,Facebook Followers,Instagram Followers,Twitter followers
Yvonne Jegede,FEMALE,,,,,,,,,1500000,2700000,14600
Caroline Danjuma,FEMALE,,,,,,,,,Not found,200,110
Lilian Esoro,FEMALE,,,,,,,,,Not found,2200000,20700
Adesua Etomi,FEMALE,,,,,,,,,191200,5900000,596200
Oghenekaro Itene,FEMALE,,,,,,,,,27800,186500,6100
Bimbo Ademoye,FEMALE,,,,,,,,,645000,4000000,64000
Efe Irele,FEMALE,,,,,,,,,1500000,774800,22600
Mary Lazarus,FEMALE,,,,,,,,,3000,1200000,4100
Uzo Aduba,FEMALE,,,,,,,,,982800,2200000,450900
Tonto Dikeh,FEMALE,,,,,,,,,6800000,7800000,1600000
Liz Benson,FEMALE,,,,,,,,,540,Not found,20
Kehinde Bankole,FEMALE,,,,,,,,,1100000,1100000,88100
Fathia Balogun,FEMALE,,,,,,,,,689300,2400000,35900
Genoveva Umeh,FEMALE,,,,,,,,,47500,374600,66300
Tomi Odunsi,FEMALE,,,,,,,,,2700,69700,450
Stephanie Okereke Linus,FEMALE,,,,,,,,,6900000,Not found,471300
Nafisa Abdullahi,FEMALE,,,,,,,,,2100000,2300000,276200
Adunni Ade,FEMALE,,,,,,,,,1100000,3400000,80000
Ayo Adesanya,FEMALE,,,,,,,,,Not found,1000000,18600
Taiwo Ajai Lycett,FEMALE,,,,,,,,,1900,29000,320
Nikki Amuka-Bird,FEMALE,,,,,,,,,Not found,20,20
Rosaline Meurer,FEMALE,,,,,,,,,900,532800,1000
Regina Askia,FEMALE,,,,,,,,,135300,217900,3600
Dorcas Shola-Fapson,FEMALE,,,,,,,,,11500,623300,31200
Monalisa Chinda,FEMALE,,,,,,,,,1900000,2000000,406500
Chioma Chukwuka,FEMALE,,,,,,,,,45700,7200000,321700
Abiodun Duro-Ladipo,FEMALE,,,,,,,,,10,370,330
Megalyn Echikunwoke,FEMALE,,,,,,,,,23300,104700,28700
Adesua Etomi-Wellington,FEMALE,,,,,,,,,191200,5900000,596200
Carmen Ejogo,FEMALE,,,,,,,,,18500,76100,18600
Tamara Eteimo,FEMALE,,,,,,,,,45700,161200,4500
Hadiza Gabon,FEMALE,,,,,,,,,1600000,2800000,509700
Regina Daniels,FEMALE,,,,,,,,,11800000,14700000,1500
Rahama Sadau,FEMALE,,,,,,,,,1300000,3300000,1000000
Muma Gee,FEMALE,,,,,,,,,640,310,3200
Shan George,FEMALE,,,,,,,,,163200,313900,11000
Biola Adebayo,FEMALE,,,,,,,,,1400,1800000,170
Adebimpe Oyebade,FEMALE,,,,,,,,,380600,2400000,86300
Uyoyou Adia,FEMALE,,,,,,,,,280,6000,2700
Kate Henshaw,FEMALE,,,,,,,,,1100000,3300000,1300000
Chika Ike,FEMALE,,,,,,,,,4500000,4600000,274400
Carol King,FEMALE,,,,,,,,,1700000,297100,137400
Bisi Komolafe,FEMALE,,,,,,,,,1800,790,50
Annie Macaulay-Idibia,FEMALE,,,,,,,,,594700,8100000,215300
Lola Margaret,FEMALE,,,,,,,,,6500,656700,Not found
Iyabo Ojo,FEMALE,,,,,,,,,2400000,6600000,132200
Sharon Ooja,FEMALE,,,,,,,,,10200,1300000,20500
Sophie Okonedo,FEMALE,,,,,,,,,350,300,410
Chioma Okoye,FEMALE,,,,,,,,,5900,18400,Not found
Oge Okoye,FEMALE,,,,,,,,,2900000,2800000,33200
Moji Olaiya,FEMALE,,,,,,,,,100,199400,20
Kiki Omeili,FEMALE,,,,,,,,,91500,200700,8800
Racheal Oniga,FEMALE,,,,,,,,,15300,24300,150
Bimbo Oshin,FEMALE,,,,,,,,,581700,2300000,250
Patience Ozokwor,FEMALE,,,,,,,,,46200,1800000,118500
Helen Paul,FEMALE,,,,,,,,,57000,4099999,490
Lisa Omorodion,FEMALE,,,,,,,,,6800,232600,232600
Idowu Philips,FEMALE,,,,,,,,,4000,681400,28600
Toni Tones,FEMALE,,,,,,,,,270,405100,25800
Mary Uranta,FEMALE,,,,,,,,,Not found,105300,60
Bukky Wright,FEMALE,,,,,,,,,1100000,1200000,18600
Folake Olowofoyeku,FEMALE,,,,,,,,,33800,Not found,7600
Sharon Ooja,FEMALE,,,,,,,,,10200,1300000,20500
Ngozi Ezeonu,FEMALE,,,,,,,,,72200,1800000,8700
Beverly Naya,FEMALE,,,,,,,,,228800,1100000,162800
Beverly Osu,FEMALE,,,,,,,,,13500,907600,83000
Abimbola Craig,FEMALE,,,,,,,,,9300,Not found,13400
Ruth Kadiri,FEMALE,,,,,,,,,5700000,6300000,44300
Weruche Opia,FEMALE,,,,,,,,,10200,42100,10200
Yvonne Orji,FEMALE,,,,,,,,,319500,1300000,222200
Toyin Abraham,FEMALE,,,,,,,,,205100,9200000,296800
Mercy Aigbe,FEMALE,,,,,,,,,1500000,11800000,130600
Simi Drey,FEMALE,,,,,,,,,7100,142400,7300
Fisayomi Abebi,FEMALE,,,,,,,,,1300,219700,4900
Obot Etuk,FEMALE,,,,,,,,,Not found,1600,140
Lilian Bach,FEMALE,,,,,,,,,5100,120500,40
Camilla Mberekpe,FEMALE,,,,,,,,,Not found,110,Not found
Chiege Alisigwe,FEMALE,,,,,,,,,42200,259800,260
Eucharia-Anunobi Ekwu,FEMALE,,,,,,,,,16000,756800,1600
Empress Njamah,FEMALE,,,,,,,,,219300,1100000,4400
Nkiru Sylvanus,FEMALE,,,,,,,,,11100,285500,3000
Hilda Dokubo,FEMALE,,,,,,,,,1700000,626000,Not found
Steph-Nora Okere,FEMALE,,,,,,,,,58800,6400,30
Rita Nzelu,FEMALE,,,,,,,,,108900,26500,690
Jennifer Eliogu,FEMALE,,,,,,,,,12000,367700,850
Clarion Chukwura,FEMALE,,,,,,,,,15100,122800,2500
Alex Lopez,FEMALE,,,,,,,,,150,71600,30900
Uche Jumbo,FEMALE,,,,,,,,,4600000,4600000,1200000
Florence Onuma,FEMALE,,,,,,,,,700,23400,10
Sandra Achums,FEMALE,,,,,,,,,170,71600,71600
Susan Patrick,FEMALE,,,,,,,,,680,7400,1300
